"Topic","Automated Identification of Design Changes (Team 9)","Fire Code Checks (Team 3)","Carbon Now (Team 8)","Building Authorities Code Platform GPT (Team 6)","Architectural Ideation and Visualisation with Generative AI (Team 10)","Draco - Sketching/Collaging to AI Render tool (Team 5)","Automated and Intelligent generation of Massing Models and Visualisation from Design Brief (Team 7)"
"Category","Top Winners","Top Winners","Top Winners","Merit Prize","Merit Prize","Merit Prize","Merit Prize"
"Prize","First Prize Winner ($2500)","Second Prize Winner ($1500)","Third Prize Winner ($1000)","Merit Prize ($250)","Merit Prize ($250)","Merit Prize ($250)","Merit Prize ($250)"
"Lead","CHONG Shyh Hao (Lead)","Atenn Neoh (Lead)","Quentin SIM (Lead)","TAN Wei Sheng (Lead)","PONG Woon Wei (Lead)","Vignesh KAUSHIK (Lead)","Gerard TEO (Lead)"
"Co-lead","CHONG Wen Jin (co-Lead)","Bob Lee (co-Lead)","Darren TAN (co-Lead)","Anders Ang Wei Li (co-Lead)","Atenn NEOH (co-Lead)","Naomi Marcelle BACHTIAR (co-Lead)","Gyanish Kakati (co-Lead)"
"Team Members","Vincent PHOEN\nJanis HO","Fujinami Yuji MALCOLM\nEvangelina ONG\nTANG Minjing\nYvonne ZHANG Jingyao","QUEK Li-En\nEstelle MAK\nDavid OKTAVIANUS\nIvonne SUWARNA\nLIN Zhenyi","CHEK Hong Yao Gabriel\nMAK Yiing Huey","LAU Siong Weng","CHEN Shujun\nKaren LIEW","THET Naung Oo\nLIM Kah Ying"
"Other Links","https://forms.gle/rPxSV5VVYPSbchya8","https://forms.gle/rPxSV5VVYPSbchya8","https://forms.gle/rPxSV5VVYPSbchya8","https://forms.gle/rPxSV5VVYPSbchya8","https://forms.gle/rPxSV5VVYPSbchya8","https://forms.gle/rPxSV5VVYPSbchya8","https://forms.gle/rPxSV5VVYPSbchya8"
"One sentence summary of What, Why, Benefits & How ","","","","","","",""
